date,Stock Market,House Prices,Bond Yields,Production and Manufacturing Statistics,Retail Sales,Interest Rates,GDP Growth Rates,Consumer Price Index (CPI),Currency Strength and Stability,Labour Market Statistics,Commodity Prices
2014-09-30,1975.8154098360656,167.27433333333332,2.49953125,102.78976666666667,438042.3333333333,0.09000000000000001,17804.228,237.47833333333332,94.7503140625,6.066666666666666,207.13333333333333
2014-12-31,2009.344375,166.6726666666667,2.2759677419354842,103.39133333333332,439951.0,0.09999999999999999,17912.079,236.88833333333332,99.3125,5.7,200.4333333333333
2015-03-31,2063.6898360655737,166.98666666666665,1.9688524590163934,102.2386,437823.3333333333,0.11,18063.529,235.35500000000002,105.47301694915255,5.533333333333334,191.53333333333333
2015-06-30,2101.8290476190477,171.75533333333337,2.164375,100.81726666666667,445217.6666666667,0.12333333333333334,18279.784,236.96,105.997159375,5.433333333333334,193.03333333333333
2015-09-30,2027.2,174.82399999999998,2.223125,100.8796,449467.0,0.1366666666666667,18401.626,237.855,109.626665625,5.1000000000000005,191.63333333333333
2015-12-31,2052.311875,175.09866666666667,2.190483870967742,99.51333333333334,448747.0,0.16,18435.137,237.837,111.47422419354838,5.033333333333333,185.5666666666667
2016-03-31,1951.224918032787,175.63433333333333,1.9142622950819672,98.84193333333333,449912.0,0.36000000000000004,18525.933,237.68933333333334,113.60903220338983,4.8999999999999995,182.0
2016-06-30,2075.1315625,180.24799999999996,1.75015625,98.48796666666668,454949.0,0.37333333333333335,18711.702,239.59033333333332,110.91595625,4.933333333333334,185.36666666666667
2016-09-30,2162.0568749999998,183.533,1.564375,98.74770000000001,459223.0,0.39666666666666667,18892.639,240.60733333333334,112.0512875,4.8999999999999995,187.0666666666667
2016-12-31,2184.8785714285714,184.2106666666667,2.138688524590164,98.70286666666668,464148.3333333333,0.45,19089.379,242.13466666666667,115.86304262295081,4.766666666666667,187.0666666666667
