,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-02,158.77999877929688,160.72999572753906,158.3300018310547,160.6199951171875,154.49383544921875,22622100
1,2020-01-03,158.32000732421875,159.9499969482422,158.05999755859375,158.6199951171875,152.57009887695312,21116200
2,2020-01-06,157.0800018310547,159.10000610351562,156.50999450683594,159.02999877929688,152.96446228027344,20813700
3,2020-01-07,159.32000732421875,159.6699981689453,157.32000732421875,157.5800018310547,151.56980895996094,21634100
4,2020-01-08,158.92999267578125,160.8000030517578,157.9499969482422,160.08999633789062,153.9840545654297,27746500
5,2020-01-09,161.83999633789062,162.22000122070312,161.02999877929688,162.08999633789062,155.90774536132812,21385000
6,2020-01-10,162.82000732421875,163.22000122070312,161.17999267578125,161.33999633789062,155.18634033203125,20725900
7,2020-01-13,161.75999450683594,163.30999755859375,161.25999450683594,163.27999877929688,157.05238342285156,21626500
8,2020-01-14,163.38999938964844,163.60000610351562,161.72000122070312,162.1300048828125,155.9462432861328,23477400
9,2020-01-15,162.6199951171875,163.94000244140625,162.57000732421875,163.17999267578125,156.95620727539062,21417900
10,2020-01-16,164.35000610351562,166.24000549316406,164.02999877929688,166.1699981689453,159.83212280273438,23865400
11,2020-01-17,167.4199981689453,167.47000122070312,165.42999267578125,167.10000610351562,160.7266845703125,34371700
12,2020-01-21,166.67999267578125,168.19000244140625,166.42999267578125,166.5,160.1495819091797,29517200
13,2020-01-22,167.39999389648438,167.49000549316406,165.67999267578125,165.6999969482422,159.38006591796875,24138800
14,2020-01-23,166.19000244140625,166.8000030517578,165.27000427246094,166.72000122070312,160.36117553710938,19680800
15,2020-01-24,167.50999450683594,167.52999877929688,164.4499969482422,165.0399932861328,158.74525451660156,24918100
16,2020-01-27,161.14999389648438,163.3800048828125,160.1999969482422,162.27999877929688,156.0904998779297,32078100
17,2020-01-28,163.77999877929688,165.75999450683594,163.07000732421875,165.4600067138672,159.1492462158203,24899900
18,2020-01-29,167.83999633789062,168.75,165.69000244140625,168.0399932861328,161.63082885742188,34754500
19,2020-01-30,174.0500030517578,174.0500030517578,170.7899932861328,172.77999877929688,166.19003295898438,51597500
20,2020-01-31,172.2100067138672,172.39999389648438,169.5800018310547,170.22999572753906,163.7373046875,36142700
21,2020-02-03,170.42999267578125,174.5,170.39999389648438,174.3800048828125,167.72901916503906,30107000
22,2020-02-04,177.13999938964844,180.63999938964844,176.30999755859375,180.1199951171875,173.25009155273438,36433300
23,2020-02-05,184.02999877929688,184.1999969482422,178.41000366210938,179.89999389648438,173.03848266601562,39186300
24,2020-02-06,180.97000122070312,183.82000732421875,180.05999755859375,183.6300048828125,176.62619018554688,27751400
25,2020-02-07,182.85000610351562,185.6300048828125,182.47999572753906,183.88999938964844,176.87631225585938,33529100
26,2020-02-10,183.5800018310547,188.83999633789062,183.25,188.6999969482422,181.50283813476562,35844300
27,2020-02-11,190.64999389648438,190.6999969482422,183.5,184.44000244140625,177.40530395507812,53159900
